DEFECT,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC
no,38,1,0,2,39,703,0,2,37,1.027,241,0.0769,0,0,0.1237,0,0,5
no,3,4,0,1,4,3,0,1,3,1.5,19,1,0,0.913,0.4444,0,0,5
no,4,0,0,4,5,6,0,4,1,1.3333,25,0,0,0,0.5,0,0,0
no,32,1,0,18,33,496,2,16,16,1.0323,212,0.95,4,0,0.1053,0,0,4.375
no,3,1,0,0,4,3,0,0,2,1.5,19,1,0,0,0.4,0,0,5
no,1,1,0,0,2,0,0,0,0,2,24,0,0,0,0,0,0,5
no,5,1,0,1,6,10,0,1,1,1.25,34,1,0,0,0.3,0,0,5
no,4,1,0,0,5,6,0,0,1,1.3333,25,0,0,0,0.5,0,0,5
no,41,1,0,4,42,820,0,4,19,1.025,303,0.6316,3,0,0.1187,0,0,5
no,6,1,0,0,7,15,0,0,5,1.2,43,0,0,0,0.4444,0,0,5
no,12,1,0,1,13,66,1,0,12,1.0909,77,1,0,0,0.5278,0,0,5
no,1,1,0,0,2,0,0,0,0,2,37,0,0,0,1,0,0,5
no,22,1,0,1,23,231,1,0,2,1.0476,148,0.75,0,0,0.5227,0,0,5
no,4,1,0,1,5,6,1,0,0,1.3333,27,0.3333,0,0,0.75,0,0,5
no,8,1,0,2,9,28,1,1,3,1.1429,55,1,0,0,0.3125,0,0,5
no,4,1,0,2,5,6,1,1,2,2,24,0,0,0,0.5,0,0,5
no,6,1,0,1,7,15,1,0,0,1.2,43,0.1429,0,0,0.8333,0,0,5
no,24,1,0,7,25,276,4,3,23,2,29,0,0,0,0.3043,0,0,0.2083
no,6,1,0,5,7,15,2,3,2,1.2,44,0,0,0,0.8333,0,0,5
no,41,1,0,8,42,820,1,7,28,1.025,274,1,4,0,0.1907,0,0,5
no,4,1,0,4,5,6,1,3,4,1.3333,31,0,1,0,0.75,0,0,5
no,1,1,0,5,2,0,5,0,0,2,57,0,0,0,0,0,0,5
no,2,3,4,5,3,1,5,0,2,2,12,0,0,1,0.75,0,0,5
no,17,1,2,11,18,136,9,3,11,1.0625,129,1,2,0,0.3203,0,0,4.1176
no,3,0,0,1,4,3,0,1,0,2,18,0,0,0,0.5556,0,0,0
no,2,0,0,1,3,1,0,1,2,2,12,0,0,0,0.75,0,0,0
no,5,1,0,1,6,10,0,1,5,1.25,33,0,0,0,0.45,0,0,5
no,41,1,0,9,42,820,5,5,37,1.025,237,0.8611,4,0,0.1729,0,0,3.9024
no,2,1,0,0,3,1,0,0,2,2,18,0,0,0,1,0,0,5
no,5,1,0,0,6,10,0,0,1,1.25,21,1,0,0,0.4667,0,0,3
no,2,0,0,1,3,1,0,1,1,2,12,0,0,0,0.75,0,0,0
no,2,0,0,1,3,1,0,1,1,2,12,0,0,0,0.75,0,0,0
no,4,1,0,0,5,6,0,0,1,1.3333,25,0,0,0,0.5,0,0,5
no,4,1,0,1,5,6,1,0,3,2,9,0,0,0,1,0,0,1.25
no,18,1,0,1,19,153,0,1,11,1.0588,116,1,0,0,0.1667,0,0,5
no,6,1,0,1,7,15,0,1,5,2,11,0,0,0,1,0,0,0.8333
no,11,1,0,4,12,55,3,1,10,2,16,0,0,0,0.46,0,0,0.4545
no,2,1,0,1,3,1,0,1,2,2,12,0,0,0,0.5,0,0,5
no,5,1,0,1,6,10,1,0,5,1.25,40,0,0,0,1,0,0,5
no,4,1,0,4,5,6,2,2,4,1.3333,62,0,0,0,0.3333,0,0,5
no,4,1,0,0,5,6,0,0,4,1.3333,25,0,0,0,0.4375,0,0,5
no,6,1,0,3,7,15,2,2,4,1.2,46,0.8,1,0,0.4444,0,0,5
no,16,1,0,2,17,120,2,0,15,2,21,0,0,0,0.3667,0,0,0.3125
no,16,1,0,5,17,120,2,4,10,1.0667,114,1,2,0,0.1932,0,0,5
no,40,1,0,9,41,780,7,5,24,1.0256,269,1,4,0,0.1643,0,0,5
no,4,0,0,4,5,6,0,4,1,1.3333,25,0,0,0,0.5,0,0,0
no,8,1,0,7,9,28,7,0,8,1.1429,63,0.2,0,0,0.5417,0,0,5
no,1,1,0,0,2,0,0,0,1,2,14,0,0,0,1,0,0,5
no,24,1,0,1,25,276,1,0,21,1.0435,160,0.3125,0,0,0.5972,0,0,5
no,4,1,0,0,5,6,0,0,4,1.3333,27,1,0,0,1,0,0,5
no,4,1,0,1,5,6,0,1,4,1.3333,26,0.5,0,0,0.5833,0,0,5
no,8,1,0,1,9,28,0,1,7,1.1429,49,0,0,0,0.375,0,0,5
no,2,0,0,1,3,1,0,1,2,2,12,0,0,0,1,0,0,0
no,2,0,0,1,3,1,0,1,2,2,12,0,0,0,1,0,0,0
no,7,1,0,0,8,21,0,0,4,1.1667,47,1,0,0,1,0,0,5
no,29,1,0,1,30,406,0,1,19,1.0357,190,1,0,0,0.1509,0,0,5
no,33,1,0,0,34,528,0,0,32,1.0313,199,1,0,0,0.2727,0,0,5
no,29,1,0,1,30,406,0,1,19,1.0357,192,0.9444,1,0,0.2069,0,0,5
no,31,1,0,0,32,465,0,0,29,1.0333,191,1,0,0,0.2661,0,0,5
no,8,1,0,1,9,28,1,0,7,1.1429,55,1,0,0,0.3438,0,0,5
no,5,1,0,2,6,10,0,2,3,1.25,38,0.875,1,0,1,0,0,5
no,2,1,0,0,3,1,0,0,2,2,12,0,0,0,1,0,0,5
no,4,0,0,1,5,6,0,1,4,1.3333,25,1,0,0,1,0,0,0
no,15,1,0,0,16,105,0,0,14,1.0714,94,1,0,0,0.5333,0,0,5
no,2,1,0,0,3,1,0,0,2,2,12,0,0,0,1,0,0,5
no,5,1,0,0,6,10,0,0,5,1.25,31,1,0,0,1,0,0,5
no,11,1,0,0,12,55,0,0,8,1.1,69,0.3333,0,0,0.5,0,0,5
no,3,1,0,0,4,3,0,0,3,2,18,0,0,0,1,0,0,5
no,20,1,0,0,21,190,0,0,20,2,120,0,0,0,1,0,0,5
no,14,1,0,0,15,91,0,0,12,2,84,0,0,0,0.5357,0,0,5
no,2,0,0,1,3,1,0,1,2,2,12,0,0,0,1,0,0,0
no,2,0,0,1,3,1,0,1,2,2,12,0,0,0,1,0,0,0
no,4,1,0,0,5,6,0,0,4,2,24,0,0,0,1,0,0,5
no,6,1,0,0,7,15,0,0,4,1.2,68,1,0,0,0.5,0,0,5
no,2,1,0,1,3,1,0,1,2,2,13,1,0,0,1,0,0,5
no,13,1,0,1,14,78,0,1,13,2,78,0,0,0,0.3974,0,0,5
no,13,1,0,1,14,78,0,1,13,2,78,0,0,0,0.3974,0,0,5
